Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Карпа,Зорян,Стефанович,Чоловіча,19-05-1998,Нотаріус,селище Лубни,"сквер Лінія 43-тя, буд. 787, Рахів, 29741",+380 31 139-32-59,daryna53@example.net
Гаврилишин,Варфоломій,Глібович,Чоловіча,26-02-1957,Єгер,хутір Новояворівськ,"набережна Мічуріна, буд. 19 кв. 56, Миронівка, 69464",+380 71 056 70 10,dmytroiarosh@example.net
Джунь,Володимир,Валерійович,Чоловіча,29-10-1985,Письменник,селище Миколаївка ,"шосе Лесі Українки, буд. 68 кв. 574, Турка, 30917",+380 90 878-12-66,andriiovychzakhar@example.org
Гавриш,Андрій,Олегович,Чоловіча,16-05-1944,Журналіст,місто Сарни,"парк Колонтаївська, буд. 30 кв. 4, Докучаєвськ, 41828",001 043-34-70,korsunparmen@example.net
Носенко,Демид,Семенович,Чоловіча,28-03-2005,Слідчий,місто Лебедин,"шосе Новаторів, буд. 815, Остер , 54600",200-01-24,jvdovychenko@example.com
Даниленко,Павло,Мартинович,Чоловіча,12-09-1965,Фермер,селище Сокиряни,"шосе Новоберегова, буд. 60 кв. 651, Дубляни, 21989",+380 50 631-25-17,vasylavdieienko@example.com
Ющенко,Феофан,Максимович,Чоловіча,02-02-1962,Педагог,хутір Середина-Буда,"шосе Кришталевий, буд. 60, Макіївка, 46451",+380 37 418-69-25,iesypenkohennadii@example.org
Вахній,Миколай,Володимирович,Чоловіча,26-08-1941,Швачка,місто Моршин,"проспект Петрашевського, буд. 0, Заводське, 10430",+380 13 411-41-00,artem14@example.com
Гайда,Климент,Романович,Чоловіча,03-08-2006,Няня,місто Монастирище,"парк Олександра Невського, буд. 185, Новий Буг, 14458",729-37-06,faronets@example.net
Величко,Ярослав,Андрійович,Чоловіча,23-07-1978,Каскадер,селище Ватутіне,"шосе Новикова, буд. 1, Дубровиця, 28143",+380 60 152-96-27,hperebyinis@example.org
Шведченко,Данило,Яремович,Чоловіча,15-09-1974,Патологоанатом,місто Дубровиця,"площа Успенський, буд. 74, Синельникове, 13060",029 767-55-41,solomiiaartym@example.org
Удовенко,Григорій,Леонтійович,Чоловіча,29-12-1982,Архітектор,село Дніпро ,"парк Шкільний аеродром, буд. 4, Боково-Хрустальне, 01477",+380 38 097 05 15,leonid18@example.net
Романенко,Вадим,Венедиктович,Чоловіча,10-05-1954,Фізик,хутір Арциз,"сквер Академіка Корольова, буд. 362 кв. 18, Гребінка, 80428",547-33-98,gdankiv@example.com
Фаренюк,Трохим,Альбертович,Чоловіча,11-10-1947,Етнограф,місто Устилуг,"провулок Шампанський, буд. 7, Ковель, 62286",+380 54 885-51-81,pchekaliuk@example.org
Аверченко,Семен,Андрійович,Чоловіча,16-08-1957,Адвокат,село Іловайськ,"провулок Старосінна, буд. 90 кв. 63, Ніжин, 57312",+380 47 011-90-21,veniiamyn68@example.org
Петрик,Володимир,Олексович,Чоловіча,03-12-1998,Лікар,село Олександрівськ,"провулок Старопортофранківська, буд. 31 кв. 77, Сновськ, 73786",674 90 50,xchalyi@example.net
Цибуленко,Зиновій,Павлович,Чоловіча,30-01-1984,Складальник,хутір Покровськ,"шосе Студена, буд. 374, Моршин, 26618",003 958 84 09,vmoskal@example.com
Юрчишин,Давид,Соломонович,Чоловіча,14-01-1979,Дизайнер,селище Жовква,"парк Єлісаветинська, буд. 171 кв. 9, Перевальськ, 51497",+380 77 114-07-00,uzaporozhets@example.net
Нестайко,Дан,Олегович,Чоловіча,12-11-1984,Сценарист,село Сорокине,"парк Леваневського, буд. 5, Перевальськ, 54392",098-99-48,orest42@example.net
Зінченко,Мирон,Степанович,Чоловіча,19-08-1994,Епідеміолог,селище Боярка,"сквер Москвіна, буд. 38, Вилкове, 34519",+380 79 733-72-44,frants82@example.org
Черінько,Онисим,Мирославович,Чоловіча,20-04-1999,Професор,місто Суми,"узвіз Бісквітний, буд. 467 кв. 9, Красноград, 83792",023 008-18-53,efilipenko@example.com
Гречаник,Владислав,Петрович,Чоловіча,25-03-1954,Мистецтвознавець,село Герца,"площа Інтернаціональний, буд. 06, Ніжин, 70739",+380 28 506-05-55,adamsatsiuk@example.net
Терещук,Яків,Тарасович,Чоловіча,05-02-1961,Паблік рилейшнз,хутір Жидачів,"узвіз Академіка Вільямса, буд. 1 кв. 37, Нова Одеса, 75957",+380 (01) 536-60-63,zharkoles@example.net
Жайворон,Володимир,Яковович,Чоловіча,24-10-1999,Економіст,хутір Новомиргород,"площа Сєрогодського, буд. 5 кв. 6, Лохвиця, 92468",077-85-43,prokhirtsisyk@example.net
Христич,Віктор,Панасович,Чоловіча,05-07-1975,Менеджер,місто Ржищів,"проспект Ольгіївський узвіз, буд. 440, Бердичів, 83644",127 65 64,neporozhniiihor@example.net
Сагаль,Онисим,Варфоломійович,Чоловіча,28-03-1963,Мірошник,селище Дубровиця,"парк Індійська, буд. 232, Погребище, 34343",063 235-87-55,iosypvasylechko@example.com
Годунок,Тарас,Леопольдович,Чоловіча,13-07-1948,Правник,хутір Карлівка,"проспект Зоряна, буд. 3 кв. 5, Суходільськ, 55522",806 31 73,heorhiismyk@example.net
Рева,Георгій,Григорійович,Чоловіча,03-06-1980,Юрист,село Роздільна,"сквер Тепличний 1-й, буд. 75 кв. 99, Белз, 83742",000 123 32 24,orlykiakiv@example.com
Семенченко,Зиновій,Данилович,Чоловіча,12-11-1952,Співак,хутір Чуднів,"проспект Авангардна, буд. 605, Подільськ, 52603",+380 24 558 43 30,hordii45@example.org
Атрощенко,Демид,Вадимович,Чоловіча,04-09-2003,Електрослюсар,місто Мар'їнка,"площа Новий, буд. 746, Старий Самбір, 58727",051 915 64 28,khoma27@example.com
Супруненко,Гаврило,Пилипович,Чоловіча,01-06-1962,Льотчик,хутір Бровари,"парк Тимірязєва, буд. 339, Олександрія, 99155",004 558-08-20,varvarazabashta@example.com
Калениченко,Олександр,Глібович,Чоловіча,01-12-1947,Електромонтер,хутір Бориспіль,"набережна Туристський, буд. 822, Верхньодніпровськ, 89407",+380 51 497-54-80,chaidai@example.org
Данько,Пармен,Макарович,Чоловіча,05-07-1965,Єгер,місто Алупка,"проспект Бучми, буд. 0, Шепетівка, 42558",+380 51 332 43 46,ieroshenkooleksa@example.org
Піддубний,Левко,Захарович,Чоловіча,29-11-1943,Слідчий,селище Мостиська,"сквер Студентський, буд. 4, Городище , 12261",+380 (19) 040-51-53,fomenkoklyment@example.net
Баклан,Нестор,Володимирович,Чоловіча,01-05-1959,Слідчий,хутір Фастів,"узвіз Український 2-й, буд. 4, Кропивницький, 63481",+380 44 462-50-46,bezditkoorest@example.org
Фастенко,Леон,Макарович,Чоловіча,10-02-1959,Астронавт,хутір Олевськ,"площа Наявний 6-й, буд. 425, Антрацит , 76871",979 87 45,vitalii85@example.org
Рудько,Хома,Захарович,Чоловіча,14-02-1982,Інженер,місто Кролевець,"сквер Володимира Хавкіна, буд. 952, Вовчанськ, 51054",+380 72 229-71-90,ihnat41@example.com
Баранець,Олександр,Леонтійович,Чоловіча,20-06-1990,Архітектор,хутір Хуст,"площа Вапняний 1-й, буд. 15, Вознесенівка, 88726",054 263 22 78,liubovtsybulenko@example.com
Мазур,Азар,Ростиславович,Чоловіча,08-05-2005,Художник,селище Кременець,"сквер Георгія Гамова, буд. 51, Мостиська, 15709",+380 72 515-02-34,ailchenko@example.org
Щириця,Трохим,Макарович,Чоловіча,11-02-1997,Антрополог,село Деражня,"площа Фестивальний, буд. 61, Червоносів, 74568",+380 33 371-38-94,dannachumak@example.com
Гузь,Аарон,Юхимович,Чоловіча,25-12-1967,Математик,селище Гадяч,"шосе Восьмого березня 5-й, буд. 715, Добромиль, 47799",080 281 91 60,ivanenkooleh@example.com
Єресько,Яків,Микитович,Чоловіча,06-12-1991,Кінолог,місто Обухів,"площа Волзький, буд. 89, Світлодарськ, 55336",+380 (85) 557-80-71,viramoskal@example.net
Давиденко,Арсен,Яковович,Чоловіча,07-09-1961,Кіноактор,селище Амвросіївка,"шосе Льва Симиренка, буд. 306, Сорокине, 47689",953 30 36,artemzaika@example.com
Усик,Опанас,Павлович,Чоловіча,21-12-1938,Музичний редактор,хутір Дубровиця,"вулиця Деревообробний 4-й, буд. 87, Кременчук, 79234",048 320-12-29,martynvelychko@example.org
Ребрик,Руслан,Гаврилович,Чоловіча,03-08-1945,Громадський діяч,селище Ужгород,"шосе Сонячна, буд. 827 кв. 34, Монастириська, 66813",+380 76 703-68-63,symonenkotrokhym@example.com
Бараник,Августин,Олександрович,Чоловіча,06-11-1971,Підприємець,хутір Армянськ,"узвіз Перший Кришталевий, буд. 92 кв. 8, Кам'янське, 35112",+380 50 648-54-21,danna71@example.net
Засуха,Захар,Варфоломійович,Чоловіча,16-04-1978,Патологоанатом,село Зіньків,"провулок Радіо, буд. 901, Южне, 10902",012 89 30,babenkoserhii@example.org
Андрейко,Назар,Олександрович,Чоловіча,12-02-1967,Модель,хутір Новий Калинів,"набережна Академічна, буд. 3 кв. 8, Алчевськ, 72087",+380 24 194 82 09,bhydenkosvitlana@example.net
Деревʼянко,Павло,Богодарович,Чоловіча,19-07-1973,Дипломат,село Кілія,"шосе Новомосковська дорога, буд. 31 кв. 05, Київ, 20199",+380 01 126-05-44,adamfranchuk@example.net
Юхименко,Пантелеймон,Русланович,Чоловіча,11-11-1962,Круп'є,місто Залізне,"проспект Квітковий, буд. 3 кв. 78, Христинівка, 97304",397-35-06,tarasenkoustym@example.com
Шелест,Аврелій,Симонович,Чоловіча,03-07-1978,Науковець,селище Гребінка,"проспект Академіка Вільямса, буд. 52, Шаргород, 64902",039 203-26-52,ihres@example.com
Ажажа,Охрім,Мартинович,Чоловіча,09-05-1977,Льотчик,селище Бобринець,"проспект Амундсена, 1-й, буд. 37 кв. 42, Кам'янське, 60444",004 232 60 03,artemkalenychenko@example.com
Стець,Дан,Зиновійович,Чоловіча,09-05-1962,Реабілітолог,село Чоп,"провулок Умова, буд. 0, Ланівці, 09273",688 43 45,xbaklan@example.com
Дерегус,Єлисей,Антонович,Чоловіча,26-02-1978,Каскадер,хутір Федорівка,"проспект Одеса-Головна, буд. 8, Тетіїв, 87969",038 784-36-25,emiliia90@example.com
Теліженко,Омелян,Яковович,Чоловіча,06-09-1981,Нотаріус,селище Світлодарськ,"шосе 411-ї батареї, буд. 864 кв. 113, Верхівцеве, 46542",+380 62 011 81 26,qdevdiuk@example.com
Данильчук,Альберт,Вадимович,Чоловіча,18-03-1951,Реставратор,хутір Новий Буг,"провулок Наявний 5-й, буд. 54, Новий Калинів, 76618",+380 99 003 81 27,lvasylechko@example.net
Доценко,Дан,Пилипович,Чоловіча,09-04-1957,Юрист,хутір Снігурівка,"провулок Корнюшина, буд. 338, Кальміуське, 58495",333 44 99,lgerega@example.com
Бандура,Альберт,Трохимович,Чоловіча,07-09-1983,Мінералог,селище Свалява,"провулок Ковиловий, буд. 4, Зіньків, 92251",092 368 44 70,smatiash@example.org
Левченко,Демʼян,Романович,Чоловіча,19-04-1941,Електрик,село Любомль,"узвіз Олександра Невського 1-й, буд. 0, Надвірна, 58903",+380 83 765 16 61,vilchenko@example.org
Гаврилюк,Гордій,Миколайович,Чоловіча,05-08-1979,Гінеколог,селище Винники,"вулиця 10-та Суворовська, буд. 9, Володимир-Волинський, 94200",+380 (76) 449-20-63,anastasiiaumanets@example.com
Даниленко,Франц,Геннадійович,Чоловіча,01-05-1970,Льотчик,місто Городенка,"проспект Кропивницького, буд. 2, Світловодськ, 74412",362-86-16,fedirisaienko@example.com
Швайка,Макар,Данилович,Чоловіча,06-12-1950,Пекар,селище Дубно,"вулиця Ангарська, буд. 33, Судак , 10294",490-71-20,ivan45@example.com
Вітрук,Болеслав,Олексович,Чоловіча,31-03-1960,Фармацевт,село Мостиська,"проспект Мала, буд. 02, Родинське, 86960",+380 46 095-06-32,ckhrystenko@example.net
Ященко,Стефан,Тимофійович,Чоловіча,07-10-1979,Парфюмер,хутір Родинське,"вулиця Рівності, буд. 295, Сорокине, 34822",+380 96 277-98-35,tereza16@example.com
Яремчук,Єлисей,Гаврилович,Чоловіча,09-01-1987,Гицель,село Волочиськ,"проспект Шептицікого, буд. 0 кв. 13, Добропілля, 19187",865-78-44,zorian29@example.net
Туркало,Ярослав,Прохорович,Чоловіча,20-04-1979,Паралегал,місто Львів,"набережна Андросовський, буд. 0, Жашків, 32635",372-85-70,esliusar@example.net
Тесля,Олесь,Адамович,Чоловіча,24-11-1956,Стропальник,селище Деражня,"площа Бузкова, буд. 4, Севастополь, 80732",+380 17 698-99-17,bbakumenko@example.net
Василашко,Орхип,Валерійович,Чоловіча,21-06-1970,Дизайнер,селище Золочів,"вулиця Кавказький, буд. 95, Чортків, 02311",366 74 10,yonyshchenko@example.org
Засенко,Костянтин,Едуардович,Чоловіча,19-07-2005,Географ,хутір Кам'янець-Подільський,"проспект Наявний 5-й, буд. 9, Виноградів, 17179",208-16-94,anzhelamiroshnychenko@example.net
Чуприна,Назар,Леонідович,Чоловіча,22-09-2004,Ґрунтознавець,хутір Мирноград,"набережна Соборна, буд. 399 кв. 32, Путивль, 22828",902-01-07,iukhym70@example.net
Коваленко,Захар,Леопольдович,Чоловіча,09-12-1981,Астронавт,село Новодружеськ,"шосе Чорноморський 11-й, буд. 472, Ясинувата, 17440",+380 21 425 10 35,ostapchukamaliia@example.com
Євдокименко,Пилип,Охрімович,Чоловіча,30-10-1989,Стиліст,село Сокаль,"площа Пересипська 8-ма, буд. 3 кв. 02, Яготин, 84246",086-92-40,lubenetsdan@example.com
Хомик,Гліб,Семенович,Чоловіча,10-07-1974,Професор,село Каховка,"вулиця 3-тя Суворовська, буд. 8, Верхньодніпровськ, 64450",733-34-88,vshablii@example.org
Масляк,Трохим,Богуславович,Чоловіча,06-08-1964,Сантехнік,селище Косів,"сквер Плієва, буд. 30, Христинівка, 73658",141-88-76,ostapchukavrelii@example.com
Жарко,Панас,Романович,Чоловіча,20-07-1974,Кіноактор,місто Люботин,"узвіз Курортний 6-й, буд. 502 кв. 4, Лохвиця, 77480",+380 (60) 170-81-68,dpavlyk@example.net
Рябченко,Сергій,Вікторович,Чоловіча,13-03-2007,Музичний редактор,село Пирятин,"площа Селищна, буд. 4 кв. 010, Кілія, 47996",939-86-45,uiemelianenko@example.net
Баранець,Тимофій,Яремович,Чоловіча,03-03-1952,Бібліотекар,місто Перещепине,"сквер Лінія 48-ма, буд. 15, Токмак, 50053",+380 (89) 958-22-06,komardmytro@example.net
Устенко,Едуард,Веніяминович,Чоловіча,11-10-1970,Сценарист,село Любомль,"сквер Слобідський узвіз, буд. 978 кв. 576, Заводське, 80889",623 91 91,olhaarkhypenko@example.net
Бабко,Данило,Єлисейович,Чоловіча,26-03-1957,Конструктор,місто Лиман ,"площа 5-та Суворовська, буд. 764 кв. 8, Біла Церква, 65457",043 502-42-23,kozakpetro@example.com
Гук,Вадим,Богодарович,Чоловіча,07-04-1969,Електромонтажник,хутір Радивилів,"набережна Учнівська, буд. 905, Кілія, 62773",021 93 96,arkadiishelest@example.com
Конопля,Назар,Адамович,Чоловіча,14-04-1965,Археолог,місто Шумськ,"проспект Чернігівський, буд. 721, Нова Каховка, 55777",+380 18 526-92-63,baidakzakhar@example.com
Рак,Остап,Данилович,Чоловіча,18-07-1984,Слідчий,хутір Золочів,"вулиця Маланова, буд. 70 кв. 29, Бурштин , 98490",+380 49 393-03-48,arkhymovychvasyl@example.net
Бабак,Геннадій,Мирославович,Чоловіча,04-08-1971,Кур'єр,місто Дергачі,"парк Овідіопольська дорога, буд. 569 кв. 437, Кременчук, 37486",+380 56 086 24 90,taras90@example.com
Супруненко,Пилип,Устимович,Чоловіча,28-12-1973,Електромонтер,село Косів,"провулок Супутників, буд. 21 кв. 54, Міусинськ, 89898",+380 (47) 348-84-63,oles92@example.com
Олійник,Веніямин,Омелянович,Чоловіча,07-03-1951,Фрілансер,село Південне ,"провулок Шебелінський, буд. 62, Святогірськ, 91303",+380 (76) 009-00-17,ruslanbabii@example.net
Забара,Августин,Максимович,Чоловіча,14-01-1944,Гірник,селище Красногорівка,"шосе Гілельса, буд. 4 кв. 88, Звенигородка, 51609",+380 73 388 04 48,zlatoslavaonufriienko@example.net
Макаренко,Олесь,Семенович,Чоловіча,16-10-1986,Паблік рилейшнз,селище Сквира,"узвіз Воронцовський, буд. 3, Мирноград, 38078",461-82-15,liliiafranchuk@example.net
Семенченко,Михайло,Макарович,Чоловіча,17-10-1978,Реабілітолог,селище Гірник ,"сквер Бахчева, буд. 03, Охтирка, 69696",+380 16 226-23-10,kteslenko@example.org
Баранець,Гаврило,Васильович,Чоловіча,20-01-2001,Художник,село Хотин,"узвіз Дачна, буд. 153 кв. 4, Глиняни, 97383",673 37 02,ylemeshko@example.com
Міщенко,Богодар,Олександрович,Чоловіча,25-03-1968,Електротехнік,селище Балта,"набережна Ніжинська, буд. 8, Синельникове, 30898",225 82 40,anton24@example.org
Калениченко,Єлисей,Юстимович,Чоловіча,04-03-2005,Етнограф,село Новгород-Сіверський,"сквер 9-та Суворовська, буд. 3, Монастирище, 18146",286-03-42,wstelmakh@example.com
Бабиченко,Семен,Пилипович,Чоловіча,03-11-1977,Машиніст,село Червоноград,"площа Матроська Слобідка, буд. 945 кв. 2, Корець, 08868",+380 61 679-87-33,solomontereshchenko@example.com
Колодуб,Юхим,Ааронович,Чоловіча,18-04-1997,Диригент,місто Залізне,"вулиця Ростовська, буд. 259 кв. 59, Белз, 48583",097 510-90-90,chubaiiefrem@example.org
Данченко,Пантелеймон,Іванович,Чоловіча,01-12-1943,Історик,місто Яремче,"проспект Сєрогодського, буд. 3 кв. 2, Бережани, 43046",093 603-50-75,havrylenkomaryna@example.net
Голобородько,Богдан,Андрійович,Чоловіча,12-07-1976,Кушнір,місто Мар'їнка,"парк Танкерна, буд. 721 кв. 4, Лохвиця, 31916",048 349 13 67,anton87@example.org
Рева,Едуард,Демʼянович,Чоловіча,29-11-1951,Гірник,місто Южне,"проспект Пересипський міст, буд. 7, Географія Вільнянська, 40768",+380 61 617-99-60,esomko@example.org
Оробець,Нестор,Ігнатович,Чоловіча,27-04-1974,Електрослюсар,село Городня,"провулок Сосюри, буд. 16, Тальне, 88590",+380 15 636 86 81,nsvyrydenko@example.net
Даньків,Антон,Гаврилович,Чоловіча,02-11-1993,Архітектор,село Чортків,"сквер Деволанівська, буд. 539 кв. 38, Дніпро , 30447",097 401-24-30,ivanchenkopetro@example.com
Єрьоменко,Лукʼян,Лукʼянович,Чоловіча,23-02-1999,Фрілансер,село Дебальцеве,"узвіз Черешнева, буд. 61, Богуслав, 75503",438-04-64,venedyktshevchenko@example.net
Перепелиця,Євген,Августинович,Чоловіча,02-06-1941,Краєзнавець,хутір Першотравенськ,"вулиця Ашгабатська, буд. 859, Черкаси, 29034",037 529-68-89,ielysavetachernenko@example.org
Левченко,Пармен,Леонідович,Чоловіча,18-02-1982,Фольклорист,селище Берестечко,"набережна 11-та ст. Великого Фонтану пляж, буд. 51, Березне, 01241",482-82-13,konopliaviacheslav@example.com
Запорожець,Віктор,Сергійович,Чоловіча,26-11-1954,Археолог,хутір Генічеськ,"шосе Наявний 6-й, буд. 4, Рені, 41710",265-65-86,khorishkoandrii@example.com
Копитко,Ростислав,Дмитрович,Чоловіча,06-02-1942,Електромонтер,хутір Мар'їнка,"проспект Луганська, буд. 20, Вільнянськ, 33900",055-98-34,vadym71@example.net
Гоголь-Яновська,Прохір,Михайлович,Чоловіча,26-12-1968,Електромонтажник,село Судова Вишня,"площа Леонова, буд. 11 кв. 133, Трускавець, 27729",412-62-26,fedirishchak@example.org
Гаврилів,Зорян,Олесьович,Чоловіча,12-12-1961,Паблік рилейшнз,місто Глухів,"шосе Середньофонтанська, буд. 4, Севастополь, 99171",+380 (02) 614-39-09,rostyslav02@example.com
Онищенко,Вʼячеслав,Едуардович,Чоловіча,31-08-1995,Золотар,місто Подільськ,"вулиця Задніпровського, буд. 0 кв. 883, Лохвиця, 81643",087 152 52 65,ruslan20@example.org
Хмара,Дмитро,Ігнатович,Чоловіча,26-07-1948,Геолог,хутір Комарно,"парк Херсонський, буд. 81, Тиврів, 36642",+380 (73) 793-40-26,artem29@example.net
Михайличенко,Амвросій,Хомович,Чоловіча,29-11-1950,Музикознавець,село Болехів,"вулиця Мазараті, буд. 475, Арциз, 84948",014 345-78-76,eartym@example.com
Євтушенко,Ростислав,Віталійович,Чоловіча,23-11-1938,Головний меркшейдер,місто Зоринськ,"вулиця Раїси Сергієнко, буд. 268, Жовті Води, 30459",928 64 29,shynkarenkoorysia@example.net
Стець,Олекса,Романович,Чоловіча,03-01-1947,Графік,місто Жидачів,"вулиця Грецька, буд. 9, Краматорськ, 12125",+380 24 004-55-93,iaryna73@example.org
Фартушняк,Хома,Амвросійович,Чоловіча,18-08-1973,Фольклорист,селище Козятин,"сквер Спортивна, буд. 12 кв. 287, Олешки, 69762",+380 (73) 371-45-92,wsemenchenko@example.net
Лупій,Мирослав,Андрійович,Чоловіча,09-05-1986,Композитор,селище Дубровиця,"проспект П'ята, буд. 9 кв. 17, Борислав, 58547",149 32 42,hviter@example.net
Рудик,Вʼячеслав,Бориславович,Чоловіча,15-12-1998,Реабілітолог,місто Борзна,"шосе Мечникова, буд. 762, Червоносів, 96690",+380 08 776-86-78,wieshchenko@example.org
Гузій,Антон,Данилович,Чоловіча,06-01-1953,Фотограф,хутір Дунаївці,"площа Зарічна, буд. 8 кв. 97, Вишневе , 23686",926-36-88,taranfrants@example.com
Гавришкевич,Тимофій,Ігорович,Чоловіча,29-12-1997,Фермер,хутір Ізюм,"сквер Баштанна, буд. 9 кв. 45, Вижниця, 24013",033 188 26 38,solomiia04@example.net
Павлик,Петро,Васильович,Чоловіча,26-12-1995,Гінеколог,хутір Нова Каховка,"вулиця Шилова, буд. 05, Шумськ, 92361",063 510 28 43,nkhomyk@example.org
Артюшенко,Руслан,Охрімович,Чоловіча,21-08-1986,Головний меркшейдер,місто Конотоп,"площа Артилерійська, буд. 126 кв. 470, Могилів-Подільський, 82218",051 863 77 93,veniiamynmakohon@example.com
Носаченко,Феофан,Русланович,Чоловіча,05-12-1966,Математик,селище Чорноморськ,"провулок Терещенка Володимира, буд. 678, Зоринськ, 19772",+380 81 616-42-63,stelmakhviktor@example.com
Дрозд,Микита,Артемович,Чоловіча,03-05-1942,Фольклорист,хутір Луганськ,"провулок Тимірязєва 4-й, буд. 092, Бобринець, 05739",899-29-81,sirkovioletta@example.com
Артимишин,Лукʼян,Георгійович,Чоловіча,27-03-1948,Астроном,селище Вовчанськ,"шосе Канатний, буд. 736, Глухів, 98924",018-87-61,albinaabramenko@example.net
Дробʼязко,Назар,Леопольдович,Чоловіча,16-04-1955,Водій,село Полтава,"проспект Водопровідний 1-й, буд. 24, Деражня, 17024",+380 (06) 922-65-22,odarkazhadan@example.org
Зінченко,Стефан,Яковович,Чоловіча,10-06-1978,Психолог,місто Глиняни,"сквер Івана Франка, буд. 20 кв. 2, Ланівці, 64707",+380 (67) 261-12-54,rozaliia12@example.net
Ніколюк,Варфоломій,Єлисейович,Чоловіча,12-04-1957,Ювелір,хутір Кальміуське,"шосе Естафетна, буд. 160, Брянка, 13108",+380 64 533-61-02,sdrozd@example.com
Акименко,Тарас,Пилипович,Чоловіча,20-09-1956,Скульптор,селище Сєвєродонецьк,"сквер Приморський, буд. 117, Нікополь, 82418",007 485 76 90,makar53@example.net
Забашта,Борислав,Єлисейович,Чоловіча,16-08-1942,Музикознавець,хутір Сторожинець,"вулиця Єлісаветинська, буд. 139, Чигирин, 98217",+380 36 588-58-81,demian63@example.org
Байдак,Костянтин,Дмитрович,Чоловіча,23-04-1940,Мірошник,місто Козятин,"сквер Амурський 3-й, буд. 2 кв. 040, Тальне, 48457",852 89 03,lbandurka@example.net
Шморгун,Костянтин,Йосипович,Чоловіча,29-11-1959,Геолог,хутір Кілія,"проспект Яші Гордієнка, буд. 730, Валки , 66218",+380 83 381-27-58,iermolenkohryhorii@example.com
Іваничук,Єфрем,Миколайович,Чоловіча,18-05-1966,Живописець,село Яготин,"провулок Педагогічний, буд. 74 кв. 760, Сулимівка (Слов'янськ), 26809",+380 26 879-63-86,oleh32@example.com
Мазур,Давид,Болеславович,Чоловіча,31-10-1981,Футболіст,хутір Берестечко,"парк Тінистий, буд. 04, Люботин, 70747",014 532 60 53,ielysaveta29@example.org
Ажажа,Святослав,Леопольдович,Чоловіча,04-05-2002,Державний службовець,село Яворів,"парк 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 52 кв. 51, Чуднів, 16978",039 344-59-98,hannabatiuk@example.org
Чміль,Пармен,Ярославович,Чоловіча,05-12-1949,Ювелір,хутір Миколаїв,"парк Учнівська, буд. 3 кв. 587, Жовті Води, 59992",067 655-79-49,ubandurka@example.org
Авдєєнко,Тарас,Гордійович,Чоловіча,26-03-1939,Біолог,селище Дніпрорудне,"шосе Перемоги, буд. 88, Красногорівка, 01172",+380 87 329 95 08,zorian97@example.com
Влох,Орхип,Йосипович,Чоловіча,22-07-2003,Електрик,село Корсунь-Шевченківський,"парк Савицький, буд. 767, Волноваха, 83363",+380 36 018 70 66,hryhoriisimashkevych@example.net
Цибуленко,Святослав,Остапович,Чоловіча,15-04-1999,Електротехнік,хутір Боярка,"проспект Шебелінський, буд. 33, Перещепине, 42775",061 318-01-30,emiliia64@example.org
Демʼяненко,Соломон,Леопольдович,Чоловіча,22-03-2006,Продюсер,хутір Переяслав,"узвіз Нова, буд. 384 кв. 4, Ірміно, 01716",+380 20 229-58-40,derhachles@example.org
Ковпак,Руслан,Степанович,Чоловіча,15-01-1954,Електротехнік,місто Бердянськ,"проспект Східчастий, буд. 9 кв. 04, Нова Одеса, 95916",+380 (68) 252-65-23,omeliangerus@example.net
Кириленко,Алевтин,Демидович,Чоловіча,07-02-1959,Журналіст,селище Білозерське,"парк Центральна, буд. 88, Українка , 05525",+380 60 229-70-09,rostyslavderevianko@example.net
Андрієнко,Кирило,Гордійович,Чоловіча,27-07-1969,Бібліограф,селище Мала Виска,"набережна Короленка, буд. 72, Южне, 66672",+380 93 064 13 62,hordii05@example.com
Литвин,Олекса,Степанович,Чоловіча,27-09-1995,Електротехнік,хутір Зеленодольськ,"проспект Куниці, буд. 670, Красногорівка, 54614",+380 53 817-70-78,ehaidai@example.net
Баран,Адам,Леопольдович,Чоловіча,25-07-1973,Провізор,хутір Пирятин,"шосе Думська, буд. 8, Коломия, 74865",+380 46 719-12-87,stefan51@example.org
Ковпак,Вʼячеслав,Охрімович,Чоловіча,14-08-1979,Доцент,село Моспине,"проспект Польова, буд. 94 кв. 6, Джанкой, 91927",+380 (14) 008-00-69,iaremasemenchenko@example.net
Шухевич,Ігнат,Едуардович,Чоловіча,16-02-1961,Актор,хутір Очаків,"узвіз 5-та Лінія Марії Демченко, буд. 1, Армянськ, 43018",+380 94 636 69 68,sirchenkoklavdiia@example.org
Башполченко,Гордій,Зиновійович,Чоловіча,14-01-1966,Петрограф,село Старий Самбір,"провулок Петра Лещенка, буд. 67, Ромни, 03722",028 770 33 03,ishchakiustyna@example.com
Литвиненко,Ярема,Хомович,Чоловіча,02-12-1951,Ґрунтознавець,місто Білогірськ,"площа Бородінська, буд. 3 кв. 917, Вознесенівка, 55280",683-98-52,kharchenkodavyd@example.org
Масляк,Олег,Єлисейович,Чоловіча,10-10-2005,Паблік рилейшнз,хутір Мостиська,"площа Балтський 3-й, буд. 360, Макіївка, 22197",+380 (93) 332-90-15,avhustyn82@example.com
Андрусенко,Кирило,Симонович,Чоловіча,10-08-1965,Патологоанатом,місто Узин,"набережна Пересипська 10-та, буд. 72 кв. 8, Копичинці, 85733",830 45 99,kholoborodko@example.org
